Status,From (Envelope),From (Header),To,Subject,Sent Date/Time,IP Address,Attachment,Route,Info,Spam Score,Spam Detection
Archived,<contact@company.com>,Contact <contact@company.com>,<user@example.com>,Account security notification,Mon Sep 01 20:56:55 EDT 2025,172.18.75.101,,internal,,0,
Bounced,<john.johnson@gmail.com>,John.Johnson <john.johnson@gmail.com>,<user@example.com>,Monthly report - September,Fri Sep 26 09:03:17 EDT 2025,127.0.229.131,,outbound,Hard Bounce,0,
Archived,<support.williams@institution.edu>,Support.Williams <support.williams@institution.edu>,<user@example.com>,Conference registration confirmed,Sun Sep 21 01:39:40 EDT 2025,74.237.239.82,,internal,Attempt Greylisted,0,
Deferred,<deal810@malicious.org>,<deal810@malicious.org>,<user@example.com>,Secret method to earn $8736,Fri Sep 05 17:41:45 EDT 2025,193.124.180.27,,inbound,Attempt Greylisted,28,Moderate
Bounced,<contact@business.net>,Contact <contact@business.net>,<user@example.com>,System maintenance notification,Tue Sep 09 23:45:33 EDT 2025,192.168.122.223,Has Attachment,internal,,0,
Archived,<contact@company.com>,Contact <contact@company.com>,<user@example.com>,Project update - Software Update,Fri Sep 05 04:34:23 EDT 2025,10.64.149.168,,outbound,Message Hold Applied - Spam Signature policy,0,
Archived,<lisa.jones@finance.com>,Lisa.Jones <lisa.jones@finance.com>,<user@example.com>,Meeting reminder for 2025-09-27,Fri Aug 29 13:27:35 EDT 2025,10.125.2.39,,internal,Attempt Greylisted,0,
Archived,<sarah.williams@institution.edu>,Sarah.Williams <sarah.williams@institution.edu>,<user@example.com>,Account security notification,Wed Sep 17 04:55:33 EDT 2025,10.95.2.206,,inbound,,0,
Deferred,<john.garcia@outlook.com>,John.Garcia <john.garcia@outlook.com>,<user@example.com>,Conference registration confirmed,Fri Sep 12 14:58:47 EDT 2025,74.31.75.36,,outbound,,0,
Archived,<john.brown@finance.com>,John.Brown <john.brown@finance.com>,<user@example.com>,Project update - Data Science,Fri Sep 05 08:09:12 EDT 2025,66.56.247.14,,outbound,Awaiting indexing,0,
Archived,<admin.smith@organization.org>,Admin.Smith <admin.smith@organization.org>,<user@example.com>,System maintenance notification,Fri Sep 05 19:27:22 EDT 2025,127.0.105.76,Has Attachment,outbound,,0,
Archived,<admin@finance.com>,Admin <admin@finance.com>,<user@example.com>,System maintenance notification,Thu Aug 28 04:43:24 EDT 2025,127.0.160.52,,inbound,Indexed and archived,0,
Archived,<support.smith@organization.org>,Support.Smith <support.smith@organization.org>,<user@example.com>,Account security notification,Sun Sep 14 01:48:07 EDT 2025,74.202.30.22,,internal,Awaiting indexing,0,
Bounced,<promo109@offers.info>,<promo109@offers.info>,<user@example.com>,Congratulations! You are a winner!,Wed Sep 10 18:45:13 EDT 2025,196.217.120.233,,internal,,14,Moderate
Archived,<marketing1463@phishing.com>,<marketing1463@phishing.com>,<user@example.com>,You have won $1866!,Thu Sep 18 18:25:30 EDT 2025,216.24.210.65,,outbound,Attempt Greylisted,41,Moderate
Archived,<promo123@deals.click>,<promo123@deals.click>,<user@example.com>,Congratulations! You are a winner!,Tue Sep 16 04:49:33 EDT 2025,189.80.101.138,,outbound,,47,Moderate
Archived,<admin@gmail.com>,Admin <admin@gmail.com>,<user@example.com>,Welcome to Cloud Service,Thu Sep 25 09:42:47 EDT 2025,74.82.7.144,,internal,Message Hold Applied - Spam Signature policy,0,
Deferred,<promo760@deals.click>,<promo760@deals.click>,<user@example.com>,FREE trial - act now!,Sun Aug 31 20:58:13 EDT 2025,204.154.183.196,,inbound,,6,Moderate
Archived,<info.miller@gmail.com>,Info.Miller <info.miller@gmail.com>,<user@example.com>,System maintenance notification,Thu Sep 11 03:46:00 EDT 2025,74.219.248.12,,outbound,,0,
Archived,<mike.jones@research.org>,Mike.Jones <mike.jones@research.org>,<user@example.com>,Meeting reminder for 2025-09-27,Sun Sep 07 14:26:27 EDT 2025,127.0.44.137,,inbound,Indexed and archived,0,
Bounced,<offers83@phishing.com>,<offers83@phishing.com>,<user@example.com>,Exclusive offer just for you,Sun Aug 31 11:58:45 EDT 2025,194.19.255.213,,inbound,Hard Bounce,44,Moderate
Archived,<john.miller@finance.com>,John.Miller <john.miller@finance.com>,<user@example.com>,System maintenance notification,Mon Sep 08 16:18:08 EDT 2025,10.25.171.109,,internal,,6,
Bounced,<support.brown@yahoo.com>,Support.Brown <support.brown@yahoo.com>,<user@example.com>,Conference registration confirmed,Sun Aug 31 04:42:33 EDT 2025,10.139.111.140,,outbound,,0,
Archived,<mike.brown@finance.com>,Mike.Brown <mike.brown@finance.com>,<user@example.com>,Invoice #34127 from Research Ltd,Sun Sep 14 13:28:32 EDT 2025,66.180.50.115,,inbound,,6,
Bounced,<marketing4775@untrusted.biz>,<marketing4775@untrusted.biz>,<user@example.com>,Secret method to earn $4062,Tue Sep 02 10:36:34 EDT 2025,186.35.83.88,,internal,Attempt Greylisted,21,Moderate
Held,<contact@business.net>,Contact <contact@business.net>,<user@example.com>,Your order confirmation #51561,Fri Aug 29 02:58:45 EDT 2025,127.0.28.229,,internal,IP Found in RBL,0,
Deferred,<lisa.miller@outlook.com>,Lisa.Miller <lisa.miller@outlook.com>,<user@example.com>,Invoice #80042 from Research Ltd,Thu Sep 25 20:07:53 EDT 2025,192.168.15.224,,inbound,IP Found in RBL,0,
Bounced,<offers81@offers.info>,<offers81@offers.info>,<user@example.com>,Exclusive offer just for you,Sun Sep 07 07:41:01 EDT 2025,189.151.51.5,,outbound,,22,Moderate
Archived,<john.brown@institution.edu>,John.Brown <john.brown@institution.edu>,<user@example.com>,Weekly newsletter - Data Science,Tue Sep 23 05:10:14 EDT 2025,10.218.211.31,,inbound,Indexed and archived,0,
Bounced,<david.miller@gmail.com>,David.Miller <david.miller@gmail.com>,<user@example.com>,Welcome to Cloud Service,Fri Sep 05 18:28:23 EDT 2025,66.203.163.74,,outbound,,0,
Archived,<david.brown@tech.com>,David.Brown <david.brown@tech.com>,<user@example.com>,System maintenance notification,Fri Sep 19 01:46:24 EDT 2025,172.31.166.78,,internal,Hard Bounce,5,
Archived,<promo778@phishing.com>,<promo778@phishing.com>,<user@example.com>,Click here for amazing deals,Sun Sep 21 09:35:47 EDT 2025,194.170.241.238,,outbound,,41,Moderate
Archived,<marketing4911@scam.net>,<marketing4911@scam.net>,<user@example.com>,FREE trial - act now!,Tue Sep 23 00:55:42 EDT 2025,209.122.94.135,,outbound,,19,Moderate
Bounced,<offers88@untrusted.biz>,<offers88@untrusted.biz>,<user@example.com>,Click here for amazing deals,Sun Aug 31 23:27:38 EDT 2025,201.222.138.9,,outbound,,21,Moderate
Archived,<support@consulting.com>,Support <support@consulting.com>,<user@example.com>,Monthly report - September,Thu Sep 04 00:03:29 EDT 2025,74.45.195.51,,outbound,Message Hold Applied - Spam Signature policy,8,
Held,<lisa.garcia@organization.org>,Lisa.Garcia <lisa.garcia@organization.org>,<user@example.com>,Meeting reminder for 2025-09-27,Tue Sep 23 10:35:22 EDT 2025,10.29.177.179,,internal,,0,
Bounced,<promo451@marketing.buzz>,<promo451@marketing.buzz>,<user@example.com>,Exclusive offer just for you,Fri Sep 19 21:43:43 EDT 2025,194.212.58.193,,internal,Awaiting indexing,47,Moderate
Archived,<john.williams@company.com>,John.Williams <john.williams@company.com>,<user@example.com>,Welcome to University Portal,Mon Sep 01 08:09:35 EDT 2025,66.47.89.29,,outbound,Message Hold Applied - Spam Signature policy,0,
Bounced,<admin@research.org>,Admin <admin@research.org>,<user@example.com>,Weekly newsletter - Security,Tue Sep 09 07:20:06 EDT 2025,172.31.89.213,,outbound,Attempt Greylisted,0,
Archived,<admin@corporate.com>,Admin <admin@corporate.com>,<user@example.com>,Invoice #42433 from Research Ltd,Fri Sep 19 12:06:53 EDT 2025,127.0.96.247,,outbound,,13,
Held,<noreply7951@offers.info>,<noreply7951@offers.info>,<user@example.com>,Last chance to save big!,Mon Sep 15 05:00:37 EDT 2025,219.239.16.109,,inbound,,115,Moderate
Held,<noreply6505@deals.click>,<noreply6505@deals.click>,<user@example.com>,Click here for amazing deals,Fri Sep 26 22:21:46 EDT 2025,219.211.152.139,,inbound,,112,Moderate
Bounced,<marketing3755@promo.biz>,<marketing3755@promo.biz>,<user@example.com>,Last chance to save big!,Thu Aug 28 01:19:32 EDT 2025,202.218.240.24,,outbound,Message Hold Applied - Spam Signature policy,24,Moderate
Archived,<mike.jones@university.edu>,Mike.Jones <mike.jones@university.edu>,<user@example.com>,Welcome to LinkedIn,Tue Sep 23 15:23:49 EDT 2025,10.95.156.157,,outbound,IP Found in RBL,0,
Archived,<promo971@promo.biz>,<promo971@promo.biz>,<user@example.com>,Congratulations! You are a winner!,Sat Sep 20 02:56:02 EDT 2025,190.171.252.150,,inbound,,7,Moderate
Archived,<deal620@untrusted.biz>,<deal620@untrusted.biz>,<user@example.com>,FREE trial - act now!,Fri Aug 29 14:13:54 EDT 2025,190.131.29.216,,outbound,,48,Moderate
Bounced,<promo260@deals.click>,<promo260@deals.click>,<user@example.com>,Congratulations! You are a winner!,Sat Aug 30 02:50:20 EDT 2025,208.56.174.118,,internal,Indexed and archived,23,Moderate
Bounced,<offers66@scam.net>,<offers66@scam.net>,<user@example.com>,Secret method to earn $1426,Tue Sep 16 06:03:16 EDT 2025,197.82.14.3,,inbound,Awaiting indexing,25,Moderate
Bounced,<john.johnson@institution.edu>,John.Johnson <john.johnson@institution.edu>,<user@example.com>,Weekly newsletter - Software Update,Thu Sep 11 12:28:48 EDT 2025,192.168.70.3,,outbound,,0,
Bounced,<admin@research.org>,Admin <admin@research.org>,<user@example.com>,Monthly report - September,Fri Sep 26 02:56:15 EDT 2025,192.168.13.224,,inbound,Hard Bounce,0,
Archived,<promo200@offers.info>,<promo200@offers.info>,<user@example.com>,FREE trial - act now!,Mon Sep 22 01:49:35 EDT 2025,192.176.188.20,,outbound,Indexed and archived,47,Moderate
Archived,<sarah.jones@business.net>,Sarah.Jones <sarah.jones@business.net>,<user@example.com>,System maintenance notification,Mon Sep 08 00:29:47 EDT 2025,127.0.124.48,Has Attachment,inbound,Indexed and archived,0,
Held,<support.smith@corporate.com>,Support.Smith <support.smith@corporate.com>,<user@example.com>,Invoice #83482 from CloudInc,Sun Aug 31 00:50:41 EDT 2025,10.172.118.2,,inbound,,10,
Bounced,<lisa.williams@finance.com>,Lisa.Williams <lisa.williams@finance.com>,<user@example.com>,Account security notification,Tue Sep 16 10:24:52 EDT 2025,127.0.21.61,,outbound,,0,
Bounced,<admin.johnson@business.net>,Admin.Johnson <admin.johnson@business.net>,<user@example.com>,System maintenance notification,Thu Sep 04 12:48:53 EDT 2025,192.168.96.94,,internal,IP Found in RBL,9,
Archived,<deal223@suspicious.net>,<deal223@suspicious.net>,<user@example.com>,Make money fast - limited time offer,Thu Sep 18 12:56:24 EDT 2025,191.127.109.53,,inbound,Awaiting indexing,8,Moderate
Bounced,<offers90@promo.biz>,<offers90@promo.biz>,<user@example.com>,You have won $4941!,Thu Sep 11 07:07:38 EDT 2025,205.254.137.189,,internal,Indexed and archived,17,Moderate
Archived,<noreply7348@malicious.org>,<noreply7348@malicious.org>,<user@example.com>,Lose weight quickly with this trick,Wed Sep 10 17:49:14 EDT 2025,180.8.72.139,,outbound,,42,Moderate
Bounced,<marketing2376@promo.biz>,<marketing2376@promo.biz>,<user@example.com>,Make money fast - limited time offer,Fri Sep 12 01:24:21 EDT 2025,218.58.72.17,Has Attachment,internal,Awaiting indexing,44,Moderate
Archived,<offers26@phishing.com>,<offers26@phishing.com>,<user@example.com>,Exclusive offer just for you,Thu Sep 11 06:01:05 EDT 2025,214.30.115.179,,internal,,31,Moderate
Bounced,<deal853@malicious.org>,<deal853@malicious.org>,<user@example.com>,Click here for amazing deals,Mon Sep 08 14:39:38 EDT 2025,183.81.42.239,,inbound,Indexed and archived,18,Moderate
Archived,<lisa.jones@research.org>,Lisa.Jones <lisa.jones@research.org>,<user@example.com>,Project update - AI Research,Fri Sep 12 06:40:51 EDT 2025,10.176.25.255,,inbound,Attempt Greylisted,6,
Bounced,<admin.smith@outlook.com>,Admin.Smith <admin.smith@outlook.com>,<user@example.com>,Invoice #38563 from Research Ltd,Fri Aug 29 17:32:04 EDT 2025,66.219.182.152,,outbound,IP Found in RBL,3,
Archived,<john.brown@company.com>,John.Brown <john.brown@company.com>,<user@example.com>,Project update - Security,Tue Sep 02 21:44:10 EDT 2025,66.206.50.108,,inbound,IP Found in RBL,6,
Archived,<promo805@suspicious.net>,<promo805@suspicious.net>,<user@example.com>,Exclusive offer just for you,Mon Sep 08 11:47:18 EDT 2025,203.133.199.86,,internal,,16,Moderate
Held,<jane.johnson@institution.edu>,Jane.Johnson <jane.johnson@institution.edu>,<user@example.com>,Conference registration confirmed,Tue Sep 23 10:49:57 EDT 2025,172.19.18.214,,outbound,IP Found in RBL,2,
Held,<admin.johnson@university.edu>,Admin.Johnson <admin.johnson@university.edu>,<user@example.com>,Project update - Data Science,Wed Sep 24 22:34:25 EDT 2025,192.168.212.54,,outbound,Message Hold Applied - Spam Signature policy,0,
Held,<marketing6553@malicious.org>,<marketing6553@malicious.org>,<user@example.com>,FREE trial - act now!,Sun Sep 07 18:27:44 EDT 2025,199.93.226.202,,internal,Hard Bounce,13,Moderate
Bounced,<jane.brown@organization.org>,Jane.Brown <jane.brown@organization.org>,<user@example.com>,Conference registration confirmed,Sun Sep 14 12:32:04 EDT 2025,74.56.121.50,,internal,Awaiting indexing,0,
Archived,<promo823@marketing.buzz>,<promo823@marketing.buzz>,<user@example.com>,You have won $4529!,Wed Sep 24 22:39:33 EDT 2025,194.208.208.16,,inbound,Message Hold Applied - Spam Signature policy,28,Moderate
Held,<offers93@promo.biz>,<offers93@promo.biz>,<user@example.com>,Click here for amazing deals,Thu Sep 18 17:55:54 EDT 2025,197.40.172.253,,inbound,,67,Moderate
Bounced,<david.brown@gmail.com>,David.Brown <david.brown@gmail.com>,<user@example.com>,Invoice #25468 from Research Ltd,Sat Sep 06 02:21:26 EDT 2025,74.3.73.27,,internal,IP Found in RBL,0,
Archived,<offers91@suspicious.net>,<offers91@suspicious.net>,<user@example.com>,Make money fast - limited time offer,Thu Sep 11 05:24:55 EDT 2025,184.171.231.211,,inbound,,21,Moderate
Bounced,<promo136@offers.info>,<promo136@offers.info>,<user@example.com>,Exclusive offer just for you,Fri Sep 05 12:27:37 EDT 2025,207.154.45.199,,internal,IP Found in RBL,25,Moderate
Archived,<marketing267@promo.biz>,<marketing267@promo.biz>,<user@example.com>,Lose weight quickly with this trick,Tue Sep 23 08:41:40 EDT 2025,189.76.1.97,,inbound,Message Hold Applied - Spam Signature policy,18,Moderate
Archived,<offers87@marketing.buzz>,<offers87@marketing.buzz>,<user@example.com>,Lose weight quickly with this trick,Tue Sep 16 03:47:33 EDT 2025,204.112.232.157,,inbound,Hard Bounce,19,Moderate
Archived,<marketing2189@phishing.com>,<marketing2189@phishing.com>,<user@example.com>,FREE trial - act now!,Sat Sep 27 14:17:13 EDT 2025,201.211.214.6,,internal,IP Found in RBL,41,Moderate
Bounced,<david.brown@organization.org>,David.Brown <david.brown@organization.org>,<user@example.com>,Meeting reminder for 2025-09-27,Thu Sep 18 10:13:20 EDT 2025,127.0.104.85,Has Attachment,internal,IP Found in RBL,0,
Bounced,<deal564@malicious.org>,<deal564@malicious.org>,<user@example.com>,Lose weight quickly with this trick,Thu Sep 18 23:46:39 EDT 2025,205.171.97.133,,internal,IP Found in RBL,40,Moderate
Bounced,<support.garcia@business.net>,Support.Garcia <support.garcia@business.net>,<user@example.com>,Meeting reminder for 2025-09-27,Mon Sep 08 14:58:05 EDT 2025,10.21.205.135,,outbound,,0,
Bounced,<noreply7862@spam.mail>,<noreply7862@spam.mail>,<user@example.com>,Last chance to save big!,Sun Sep 14 00:43:06 EDT 2025,204.126.170.75,,outbound,,14,Moderate
Archived,<offers76@spam.mail>,<offers76@spam.mail>,<user@example.com>,FREE trial - act now!,Sun Sep 07 10:50:26 EDT 2025,206.220.182.148,,inbound,Hard Bounce,3,Moderate
Bounced,<deal446@marketing.buzz>,<deal446@marketing.buzz>,<user@example.com>,Last chance to save big!,Mon Sep 22 10:51:28 EDT 2025,187.77.246.9,,internal,Awaiting indexing,16,Moderate
Held,<mike.miller@corporate.com>,Mike.Miller <mike.miller@corporate.com>,<user@example.com>,Invoice #92468 from Research Ltd,Wed Sep 03 07:33:41 EDT 2025,127.0.221.144,,outbound,Hard Bounce,0,
Bounced,<deal871@promo.biz>,<deal871@promo.biz>,<user@example.com>,Last chance to save big!,Mon Sep 15 19:21:05 EDT 2025,219.167.54.1,,outbound,,24,Moderate
Held,<noreply8531@scam.net>,<noreply8531@scam.net>,<user@example.com>,Lose weight quickly with this trick,Wed Sep 17 13:09:03 EDT 2025,192.192.109.56,,outbound,Awaiting indexing,71,Moderate
Held,<promo338@fake.domain>,<promo338@fake.domain>,<user@example.com>,Lose weight quickly with this trick,Tue Sep 16 14:43:26 EDT 2025,185.123.183.216,,inbound,Message Hold Applied - Spam Signature policy,36,Moderate
Archived,<admin.johnson@research.org>,Admin.Johnson <admin.johnson@research.org>,<user@example.com>,Invoice #42113 from Research Ltd,Sat Sep 13 17:20:44 EDT 2025,172.31.201.127,,internal,,0,
Deferred,<mike.jones@institution.edu>,Mike.Jones <mike.jones@institution.edu>,<user@example.com>,Account security notification,Sat Aug 30 00:48:50 EDT 2025,127.0.143.122,,internal,,0,
Archived,<contact@research.org>,Contact <contact@research.org>,<user@example.com>,Conference registration confirmed,Thu Sep 25 10:48:30 EDT 2025,10.197.16.160,,inbound,,0,
Bounced,<admin.williams@finance.com>,Admin.Williams <admin.williams@finance.com>,<user@example.com>,Monthly report - September,Wed Sep 17 07:33:51 EDT 2025,172.29.245.47,,outbound,Attempt Greylisted,0,
Bounced,<noreply1220@untrusted.biz>,<noreply1220@untrusted.biz>,<user@example.com>,Secret method to earn $1389,Thu Sep 25 01:47:15 EDT 2025,199.150.254.193,,internal,IP Found in RBL,45,Moderate
Bounced,<lisa.smith@organization.org>,Lisa.Smith <lisa.smith@organization.org>,<user@example.com>,Project update - AI Research,Thu Sep 04 14:50:59 EDT 2025,172.28.187.79,,internal,,0,
Archived,<david.garcia@corporate.com>,David.Garcia <david.garcia@corporate.com>,<user@example.com>,Conference registration confirmed,Wed Sep 10 04:45:39 EDT 2025,172.27.104.88,,outbound,IP Found in RBL,0,
Bounced,<deal589@deals.click>,<deal589@deals.click>,<user@example.com>,Congratulations! You are a winner!,Sun Aug 31 00:20:17 EDT 2025,210.175.62.160,,inbound,,5,Moderate
Archived,<offers59@deals.click>,<offers59@deals.click>,<user@example.com>,Exclusive offer just for you,Sat Sep 13 07:13:35 EDT 2025,217.215.24.65,,outbound,Message Hold Applied - Spam Signature policy,17,Moderate
Held,<offers51@offers.info>,<offers51@offers.info>,<user@example.com>,Make money fast - limited time offer,Fri Aug 29 23:55:43 EDT 2025,190.235.185.58,,internal,,96,Moderate
Bounced,<admin.brown@consulting.com>,Admin.Brown <admin.brown@consulting.com>,<user@example.com>,Weekly newsletter - Security,Sun Sep 21 02:13:58 EDT 2025,10.94.3.37,,internal,Attempt Greylisted,9,
Archived,<info.williams@organization.org>,Info.Williams <info.williams@organization.org>,<user@example.com>,Welcome to Cloud Service,Wed Sep 17 19:51:39 EDT 2025,66.227.204.250,,inbound,,0,
Archived,<promo485@phishing.com>,<promo485@phishing.com>,<user@example.com>,Last chance to save big!,Thu Aug 28 03:37:14 EDT 2025,199.137.196.245,,outbound,,49,Moderate
Archived,<promo166@deals.click>,<promo166@deals.click>,<user@example.com>,Click here for amazing deals,Fri Sep 05 19:52:11 EDT 2025,199.235.41.27,,internal,Awaiting indexing,16,Moderate
Held,<jane.johnson@organization.org>,Jane.Johnson <jane.johnson@organization.org>,<user@example.com>,Project update - Software Update,Thu Sep 18 02:05:18 EDT 2025,10.186.22.86,,internal,Indexed and archived,6,
Archived,<noreply5863@marketing.buzz>,<noreply5863@marketing.buzz>,<user@example.com>,Make money fast - limited time offer,Mon Sep 08 23:26:23 EDT 2025,219.141.78.170,,internal,Awaiting indexing,46,Moderate
Bounced,<promo410@marketing.buzz>,<promo410@marketing.buzz>,<user@example.com>,Secret method to earn $9783,Wed Sep 24 04:26:39 EDT 2025,218.69.88.40,,internal,,40,Moderate
Held,<jane.garcia@gmail.com>,Jane.Garcia <jane.garcia@gmail.com>,<user@example.com>,Invoice #12263 from TechCorp,Sat Aug 30 22:46:33 EDT 2025,172.20.35.205,,internal,Attempt Greylisted,15,
Bounced,<deal412@untrusted.biz>,<deal412@untrusted.biz>,<user@example.com>,Secret method to earn $9413,Wed Sep 03 12:09:01 EDT 2025,213.50.162.70,,outbound,Indexed and archived,1,Moderate
Archived,<marketing2174@untrusted.biz>,<marketing2174@untrusted.biz>,<user@example.com>,Exclusive offer just for you,Fri Sep 05 06:10:09 EDT 2025,181.12.246.166,,internal,IP Found in RBL,32,Moderate
Archived,<jane.johnson@company.com>,Jane.Johnson <jane.johnson@company.com>,<user@example.com>,System maintenance notification,Mon Sep 22 22:51:02 EDT 2025,10.85.234.162,,internal,Attempt Greylisted,0,
Archived,<noreply@outlook.com>,Noreply <noreply@outlook.com>,<user@example.com>,Account security notification,Thu Aug 28 12:44:38 EDT 2025,74.11.6.66,,outbound,Awaiting indexing,0,
Archived,<offers22@marketing.buzz>,<offers22@marketing.buzz>,<user@example.com>,FREE trial - act now!,Tue Sep 02 04:14:32 EDT 2025,215.126.136.131,,internal,,25,Moderate
Bounced,<deal399@malicious.org>,<deal399@malicious.org>,<user@example.com>,You have won $2361!,Mon Sep 01 18:01:56 EDT 2025,185.255.26.205,,inbound,Indexed and archived,18,Moderate
Bounced,<promo181@untrusted.biz>,<promo181@untrusted.biz>,<user@example.com>,Last chance to save big!,Sun Sep 21 10:07:48 EDT 2025,196.220.255.134,,internal,,36,Moderate
Bounced,<offers85@marketing.buzz>,<offers85@marketing.buzz>,<user@example.com>,Exclusive offer just for you,Thu Sep 04 01:23:14 EDT 2025,199.113.33.144,,internal,,48,Moderate
Archived,<deal130@suspicious.net>,<deal130@suspicious.net>,<user@example.com>,URGENT: Claim your prize NOW!,Fri Sep 19 16:48:33 EDT 2025,205.209.161.136,,internal,,22,Moderate
Bounced,<promo476@malicious.org>,<promo476@malicious.org>,<user@example.com>,You have won $8710!,Sat Aug 30 05:45:34 EDT 2025,180.195.196.29,,inbound,Message Hold Applied - Spam Signature policy,3,Moderate
Bounced,<deal698@spam.mail>,<deal698@spam.mail>,<user@example.com>,Congratulations! You are a winner!,Thu Sep 11 00:39:25 EDT 2025,197.83.206.142,,internal,,37,Moderate
Bounced,<noreply3401@spam.mail>,<noreply3401@spam.mail>,<user@example.com>,Exclusive offer just for you,Sat Aug 30 11:43:50 EDT 2025,201.154.161.41,,outbound,,18,Moderate
Bounced,<admin@university.edu>,Admin <admin@university.edu>,<user@example.com>,Weekly newsletter - Security,Wed Sep 17 03:53:47 EDT 2025,74.203.127.109,,inbound,Attempt Greylisted,0,
Bounced,<deal627@untrusted.biz>,<deal627@untrusted.biz>,<user@example.com>,Last chance to save big!,Sun Sep 14 07:59:46 EDT 2025,180.234.208.13,,inbound,IP Found in RBL,12,Moderate
Archived,<promo187@deals.click>,<promo187@deals.click>,<user@example.com>,You have won $4700!,Tue Sep 23 04:33:17 EDT 2025,214.203.191.56,,outbound,,31,Moderate
Bounced,<noreply9518@malicious.org>,<noreply9518@malicious.org>,<user@example.com>,Last chance to save big!,Fri Sep 19 00:50:13 EDT 2025,192.233.77.142,Has Attachment,internal,,29,Moderate
Archived,<support.smith@institution.edu>,Support.Smith <support.smith@institution.edu>,<user@example.com>,Account security notification,Sat Aug 30 00:22:15 EDT 2025,192.168.158.228,,internal,,7,
Archived,<info@outlook.com>,Info <info@outlook.com>,<user@example.com>,Your order confirmation #91795,Wed Sep 24 19:44:09 EDT 2025,66.114.161.237,,outbound,Indexed and archived,0,
Held,<marketing3564@spam.mail>,<marketing3564@spam.mail>,<user@example.com>,Lose weight quickly with this trick,Sat Sep 06 15:29:21 EDT 2025,200.141.36.23,,internal,Hard Bounce,60,Moderate
Archived,<david.williams@corporate.com>,David.Williams <david.williams@corporate.com>,<user@example.com>,Invoice #83554 from TechCorp,Mon Sep 01 15:53:21 EDT 2025,192.168.117.124,,inbound,Awaiting indexing,0,
Held,<deal689@malicious.org>,<deal689@malicious.org>,<user@example.com>,Click here for amazing deals,Mon Sep 22 16:48:43 EDT 2025,195.133.200.165,,outbound,Attempt Greylisted,118,Moderate
Archived,<offers12@spam.mail>,<offers12@spam.mail>,<user@example.com>,Secret method to earn $4414,Sun Sep 07 22:13:40 EDT 2025,199.57.252.197,,internal,,7,Moderate
Archived,<offers10@malicious.org>,<offers10@malicious.org>,<user@example.com>,Secret method to earn $980,Fri Sep 12 12:44:15 EDT 2025,199.222.29.89,,outbound,Indexed and archived,4,Moderate
Archived,<support.brown@research.org>,Support.Brown <support.brown@research.org>,<user@example.com>,Your order confirmation #41508,Mon Sep 01 21:16:44 EDT 2025,172.31.242.94,,outbound,Hard Bounce,0,
Bounced,<offers22@untrusted.biz>,<offers22@untrusted.biz>,<user@example.com>,FREE trial - act now!,Sun Sep 21 19:42:20 EDT 2025,189.61.221.38,,internal,Indexed and archived,50,Moderate
Bounced,<david.miller@research.org>,David.Miller <david.miller@research.org>,<user@example.com>,Conference registration confirmed,Mon Sep 15 01:09:50 EDT 2025,192.168.199.50,,inbound,Awaiting indexing,0,
Archived,<support.smith@gmail.com>,Support.Smith <support.smith@gmail.com>,<user@example.com>,Weekly newsletter - Security,Fri Sep 19 23:31:42 EDT 2025,66.208.63.250,,outbound,Hard Bounce,0,
Bounced,<david.williams@company.com>,David.Williams <david.williams@company.com>,<user@example.com>,Invoice #70487 from TechCorp,Sun Sep 21 19:52:24 EDT 2025,172.16.158.174,Has Attachment,inbound,,0,
Archived,<deal501@malicious.org>,<deal501@malicious.org>,<user@example.com>,Secret method to earn $3017,Thu Aug 28 16:20:20 EDT 2025,186.102.232.181,,outbound,,38,Moderate
Archived,<admin.brown@institution.edu>,Admin.Brown <admin.brown@institution.edu>,<user@example.com>,Invoice #35944 from Research Ltd,Fri Sep 12 07:23:56 EDT 2025,74.181.105.12,,internal,IP Found in RBL,0,
Archived,<promo920@deals.click>,<promo920@deals.click>,<user@example.com>,Secret method to earn $219,Thu Sep 25 08:12:03 EDT 2025,218.120.234.220,,internal,,40,Moderate
Archived,<deal730@untrusted.biz>,<deal730@untrusted.biz>,<user@example.com>,Exclusive offer just for you,Thu Aug 28 22:17:33 EDT 2025,181.51.181.197,,outbound,Indexed and archived,30,Moderate
Archived,<admin.miller@research.org>,Admin.Miller <admin.miller@research.org>,<user@example.com>,Account security notification,Sun Aug 31 10:11:42 EDT 2025,127.0.208.152,,outbound,,0,
Held,<jane.smith@institution.edu>,Jane.Smith <jane.smith@institution.edu>,<user@example.com>,Welcome to GitHub,Fri Sep 19 20:42:10 EDT 2025,192.168.237.28,,outbound,Message Hold Applied - Spam Signature policy,13,
Archived,<support.williams@finance.com>,Support.Williams <support.williams@finance.com>,<user@example.com>,Weekly newsletter - Security,Tue Sep 16 21:52:20 EDT 2025,192.168.134.25,,outbound,Awaiting indexing,0,
Held,<noreply9375@deals.click>,<noreply9375@deals.click>,<user@example.com>,Lose weight quickly with this trick,Mon Sep 01 20:41:34 EDT 2025,186.177.152.56,,outbound,Hard Bounce,30,Moderate
Held,<david.brown@corporate.com>,David.Brown <david.brown@corporate.com>,<user@example.com>,Welcome to LinkedIn,Sat Sep 06 16:15:12 EDT 2025,192.168.231.25,,internal,Message Hold Applied - Spam Signature policy,1,
